dataset,Ek,treeType,Pdisc,NumFolds,Ncentro,MS,SumStra,FinalClassif,Pconf,Pprun,PprunMaxBoxes,Pmerg,Pgrow,PprunDS,Etf,Esim,EuseSameRandomSamples,Eparallel,pctCorrect,pctIncorrect,pctUnclassified,precisionClass0,recallClass0,specificityClass0,accuracyClass0,ROCAUCClass0,classifierBuildTimeMax,classifierBuildTimeAvg,classifierBuildPeakMemUsageMax,classifierBuildPeakMemUsageAvg,classifierClassificationTimeMax,classifierClassificationTimeAvg,classifierClassificationPeakMemUsageMax,classifierClassificationPeakMemUsageAvg,numClasses,numAttributes,numInstances,conflictBoxes,mergedBoxesCount,cubesBuiltMax,cubesBuiltAvg,cubeCountRatioAfterMergingMax,cubeCountRatioAfterMergingAvg,cubeCompressionRatioMax,cubeCompressionRatioAvg,finalCubeCountMax,finalCubeCountAvg,cutBoxesAtBuildTreeMax,cutBoxesAtBuildTreeAvg,treeDepthMax,treeDepthAvg
9,64,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,39.4044772875,60.5955227125,0,-1,0,100,39.4044772875,0.5486459581,127361,99756.3,1693447656,190510156,1,0.4,1271136,609702.4,2,58,4601,3342072,0,9,3.99375,884,262.5523809524,-1,-1,1000,1000,0,0,53,42.7
10,64,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,38.2649842271,61.7350157729,0,92.507204611,5.2059682128,99.2224880383,38.2649842271,0.6371338565,91646,86091.6,883153208,-26890285.6,2,1.8,468536,199060.8,2,11,19020,1928562,0,23,9.965625,949,322.9873015873,-1,-1,1000,1000,0,0,61,49.5
0,64,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,12.57,87.43,0,66.2962962963,45.3738910013,99.0526260996,96.935,0.9181195303,388958,342503.1,1899959456,103769819.2,4,3.5,342848,101248,26,17,20000,16492570,0,59,49.971875,1123,504.9158730159,-1,-1,1000,1000,0,0,24,21.8
5,4,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,90.169332079,9.830667921,0,92.4198250729,95.7703927492,72.3991507431,90.5926622766,0.9064188171,1071,643.5,556667520,-78790579.2,1,0.2,4249480,2160228,3,22,2126,23391,0,21,15.8,645,407.9333333333,-1,-1,1000,1000,0,0,19,18.3
8,4,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,99.0469208211,0.9530791789,0,97.9616306954,98.9104116223,99.6328293737,99.5234604106,0.9994048709,1390,1058,603694328,39079072.8,1,0.6,1421176,1272692,4,25,5456,12080,0,21,14.125,595,403.0666666667,-1,-1,1000,995.6,0,0,31,26.5
9,4,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,81.656161704,18.343838296,0,81.8062827225,89.6700143472,69.332597904,81.656161704,0.8265653328,21292,12907.3,699027464,212342198.4,1,0.6,1052824,795695.2,2,58,4601,190990,0,38,26.075,1069,563.9,-1,-1,1000,1000,0,0,23,18.4
10,4,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,71.8454258675,28.1545741325,0,87.9804028307,65.528705806,83.4928229665,71.8454258675,0.8040083725,46747,40782.1,712534400,-163999364.8,2,1.7,474080,269552.8,2,11,19020,236311,0,105,80.025,752,429.2666666667,-1,-1,1000,1000,0,0,27,22.1
0,4,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,38.945,61.055,0,56.3714902808,66.1596958175,97.8970381552,96.645,0.9351640863,148868,108753.8,749443800,-126103171.2,3,2.2,490328,316944,26,17,20000,580718,0,391,364.325,144,107.9,-1,-1,1000,1000,0,0,23,20.8
5,16,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,80.9501411101,19.0498588899,0,84.74393531,94.9848942598,39.91507431,82.7845719661,0.8498964086,33076,20029.9,811253448,-152311702.4,1,0.1,496336,304861.6,3,22,2126,970821,0,12,6.10625,1308,346.3466666667,-1,-1,1000,1000,0,0,25,23.1
8,16,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,89.2778592375,10.7221407625,0,99.3650793651,75.7869249395,99.9136069114,96.2609970674,0.9501109984,61582,47604.9,743027920,-162526405.6,1,0.9,922856,456928,4,25,5456,935005,0,13,8.68125,1091,367.5266666667,-1,-1,1000,1000,0,0,62,55.5
9,16,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,55.6183438383,44.3816561617,0,75.3052917232,39.8134863702,79.9227799228,55.6183438383,0.6941464127,148340,116238.3,1346392800,-174364854.4,1,0.8,774968,313084,2,58,4601,2426087,0,16,9.8,934,385.7866666667,-1,-1,1000,1000,0,0,22,19.3
10,16,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,59.1903259727,40.8096740273,0,86.200887199,44.1209860525,86.9766746411,59.1903259727,0.7553151012,100480,72705.6,795901144,-137106944.8,2,1.9,512200,239221.6,2,11,19020,619972,0,47,27.63125,811,341.84,-1,-1,1000,1000,0,0,32,29.7
0,16,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,27.99,72.01,0,65.6618610747,63.4980988593,98.6361980116,97.25,0.8938316853,392687,334634.6,1098474344,176929058.4,3,2.7,531488,241935.2,26,17,20000,3250426,0,154,137.25,396,217.62,-1,-1,1000,1000,0,0,25,22.4
5,64,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,72.9068673565,27.0931326435,0,82.2690992018,87.1903323263,33.9702760085,75.3998118532,0.714516905,48080,30705.3,942870064,-19733470.4,1,0.2,495904,230334.4,3,22,2126,1919629,0,6,2.6828125,1138,203.9714285714,-1,-1,1000,1000,0,0,42,28.6
8,64,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,61.5469208211,38.4530791789,0,89.6296296296,14.6489104116,99.6976241901,86.8218475073,0.760628128,182208,156575.1,1562480976,125762554.4,1,0.9,752320,382933.6,4,25,5456,5963446,0,9,5.3453125,1115,277.246031746,-1,-1,1000,1000,0,0,81,65.3
9,64,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,39.230602043,60.769397957,0,25,0.143472023,99.3381136238,39.230602043,0.5039026487,224030,176524.8,1872698048,-139153041.6,1,0.4,1086760,609964.8,2,58,4601,4521268,0,9,3.99375,884,262.5523809524,-1,-1,1000,1000,0,0,53,42.7
10,64,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,39.4479495268,60.5520504732,0,82.3669579031,8.409017191,96.6806220096,39.4479495268,0.6419907541,186465,166083.8,1046209600,126004506.4,3,1.9,461112,194492,2,11,19020,2037081,0,23,9.965625,949,322.9873015873,-1,-1,1000,1000,0,0,61,49.5
0,64,2,0,10,,,,,2,200,1000,0,0,1,0,0,,0,23.265,76.735,0,56.0105680317,53.7389100127,98.2666180834,96.51,0.8896748925,1270538,1085870.6,2069690472,-148436041.6,4,3.1,405864,163284,26,17,20000,16345466,0,59,49.971875,1123,504.9158730159,-1,-1,1000,1000,0,0,23,21.8
11,1,7,0,10,0.8,1,0,0,,,,,,,,,,,88.2590649443,11.7409350557,0,87.7007801744,89.0006027067,87.517466232,88.2590649443,0.8671570644,277767,265294.7,635183608,-105578531.2,9,6.4,7147376,3364268,2,51,73001,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,4,7,0,10,0.8,1,0,0,,,,,,,,0,,,88.2385172806,11.7614827194,0,87.7447268794,88.8937592461,87.5832214581,88.2385172806,0.8669597183,376948,352706.9,467841832,-72783039.2,7,6.1,6484840,4838870.4,2,51,73001,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,16,7,0,10,0.8,1,0,0,,,,,,,,0,,,88.3001602718,11.6998397282,0,87.8516312441,88.8937592461,87.7065125072,88.3001602718,0.867991439,360512,353140,867893200,12582997.6,8,5.9,8464360,5572597.6,2,51,73001,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1,2,0,10,,,,,1,30,1000,0,0,,0,,,0,89.887809756,10.112190244,0,90.4107688038,89.2416853871,90.5339872325,89.887809756,0.8862797467,50396,48118.7,849903576,-76165609.6,11,10,4586768,2513358.4,2,51,73001,0,0,1770,1709.7,-1,-1,-1,-1,1770,1709.7,0,0,29,25.2
11,4,2,0,10,,,,,1,30,1000,0,0,1,0,0,,0,88.2289283708,11.7710716292,0,89.7439548859,86.3240370391,90.1339762733,88.2289283708,0.9215243222,1249373,945441.6,837613232,-138247112,16,12.5,1174864,735769.6,2,51,73001,1210506,0,391,355.525,147,110.2333333333,-1,-1,1000,1000,0,0,29,26.7
11,16,2,0,10,,,,,1,30,1000,0,0,1,0,0,,0,86.6221010671,13.3778989329,0,87.8118459015,85.0501342392,88.1941971013,86.6221010671,0.9249202081,3000565,2484609.5,1689756256,-163631438.4,17,15,126256,42774.4,2,51,73001,5737581,0,126,108.14375,512,270.3,-1,-1,1000,1000,0,0,50,42.9
11,1,4,0,10,,,,0,,,,,,,,,,,89.887809756,10.112190244,0,90.4107688038,89.2416853871,90.5339872325,89.887809756,0.8862797467,41723,39657.4,435076280,-24080503.2,7,6.2,0,0,2,51,73001,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
